,palavra
0,abril
1,acesso
2,acima
3,acordo
4,agora
5,agosto
6,ainda
7,alta
8,altura
9,ambos
10,americano
11,amp
12,and
13,ano
14,anos
15,anterior
16,antes
17,antigo
18,apenas
19,apresenta
20,ar
21,assim
22,ator
23,atual
24,autor
25,bairro
26,banda
27,bem
28,brasileiro
29,cada
30,campanha
31,campo
32,canal
33,capacidade
34,capital
35,casa
36,casamento
37,categoria
38,centro
39,cerca
40,cidade
41,cinco
42,cinema
43,classe
44,clube
45,comum
46,comunidade
47,conta
48,contra
49,contrato
50,controle
51,corpo
52,cultura
53,data
54,dentro
55,desde
56,deu
57,deve
58,devido
59,dez
60,dezembro
61,dia
62,direito
63,diretor
64,disco
65,disso
66,distrito
67,dois
68,embora
69,empresa
70,equipe
71,escola
72,especial
73,esposa
74,estado
75,estudo
76,estudos
77,exemplo
78,faixa
79,faz
80,fazer
81,fevereiro
82,fez
83,filho
84,filme
85,fim
86,final
87,forma
88,forte
89,frente
90,futebol
91,geral
92,governo
93,grande
94,grupo
95,guerra
96,hoje
97,homem
98,idade
99,igreja
100,ilha
101,in
102,interior
103,internacional
104,janeiro
105,jogador
106,jogo
107,jovem
108,julho
109,junho
110,junto
111,lado
112,lei
113,linha
114,lista
115,livro
116,local
117,logo
118,luta
119,maio
120,maior
121,maioria
122,mar
123,marca
124,meio
125,melhor
126,membro
127,menos
128,mercado
129,mil
130,militar
131,modelo
132,morte
133,movimento
134,mulher
135,mundo
136,nacional
137,nome
138,nomeado
139,nova
140,novembro
141,novo
142,nunca
143,objetivo
144,obra
145,oeste
146,of
147,oficial
148,oito
149,onde
150,ordem
151,origem
152,original
153,ouro
154,outra
155,outro
156,outubro
157,pai
158,papel
159,parte
160,partida
161,partir
162,personagem
163,perto
164,pesquisa
165,pessoa
166,pessoal
167,pode
168,poder
169,ponto
170,porque
171,pouco
172,presente
173,presidente
174,primeira
175,primeiro
176,principal
177,professor
178,profissional
179,programa
180,projeto
181,qualquer
182,quanto
183,quase
184,quatro
185,real
186,rede
187,redor
188,rei
189,representa
190,resultado
191,revista
192,rio
193,sede
194,seguinte
195,segunda
196,segundo
197,seis
198,semana
199,sempre
200,sete
201,setembro
202,sob
203,sobre
204,social
205,sociedade
206,somente
207,sucesso
208,sul
209,superior
210,tal
211,tanto
212,tarde
213,tempo
214,teoria
215,ter
216,terceiro
217,termo
218,terra
219,tipo
220,todo
221,torneio
222,total
223,usado
224,valor
225,vez
226,vida
227,volta
